"Code","Name","Description"
"0CREDAG005","Ducks Unlimited Ecology Conservation & Management Certification","Ducks Unlimited Ecology Conservation & Management Certification"
"0CREDAG006","Shielded Metal Arc Welding (SMAW) intro used for an AFN CIP","Shielded Metal Arc Welding intro cert for AFN CIP: intro level in-person or e-learning intro level from AWS certification, as a component of LEEPs, or other industry-recognized third-party certifier. Inquire for details"
"0CREDAG007","Gas Metal Arc Welding (GMAW) intro used for an AFN CIP","Gas Metal Arc Welding intro certification for AFN CIP: intro level in-person or e-learning intro level from AWS certification, as a component of LEEPs, or other industry-recognized third-party certifier. Inquire for details."
"0CREDAG008","Flux-Cored Arc Welding (FCAW) intro used for  an AFN CIP","Flux-Cored Arc Welding intro cert used for an AFN CIP: intro level in-person or e-learning intro level from AWS certification, as a component of LEEPs, or other industry-recognized third-party certifier. Inquire for details."
"0CREDAG009","ECHO / Briggs & Straton - Small Gas Engine Certifcation","ECHO / Briggs & Straton - Small Gas Engine Certifcation"
"0CREDAG010","Gas Tungsten Arc (GTAW) AKA Tungsten Inert Gas (TIG) Welding intro for AFN CIP","Gas Tungsten Arc Welding AKA Tungsten Inert Gas Welding intro cert for AFN CIP: intro level in-person or e-learning intro level from AWS certification, or other industry-recognized third-party certifier. Inquire for details."
"0CREDAG011","Oxyfuel Cutting intro used for an AFN CIP","Oxyfuel Cutting intro certification for AFN CIP: intro level in-person or e-learning intro level from either AWS certification, as a component of LEEPs, or other industry-recognized third-party certifier. Inquire for details."
"0CREDAG012","Plasma Cutting intro used for an AFN CIP","Plasma Cutting intro cert for AFN CIP: introductory level in-person or e-learning introductory level from either AWS certification, as a component of LEEPs, or other industry-recognized third-party certifier. Inquire for details."
"0CREDAG013","Carbon Arc Gouging intro intro used for an AFN CIP","Carbon Arc Gouging intro certification for AFN CIP: intro level in-person or e-learning intro level from AWS certification, as a component of LEEPs, or other industry-recognized third-party certifier. Inquire for details."
"0CREDAG014","Shielded Metal Arc Welding (SMAW) advanced used for an AFN CIP","Shielded Metal Arc Welding (SMAW) advanced certification for AFN CIP: advanced level from AWS certification, a union hall, as a component of LEEPs, or other industry-recognized third-party certifier. Inquire for details."
"0CREDAG015","Gas Metal Arc Welding (GMAW) advanced used for an AFN CIP","Gas Metal Arc Welding (GMAW) advanced certification used for an AFN CIP: advanced level from either AWS certification, a union hall, as a component of LEEPs, or other industry-recognized third-party certifier. Inquire for details."
"0CREDAG016","Flux-Cored Arc Welding (FCAW) advanced used for an AFN CIP","Flux-Cored Arc Welding (FCAW) advanced certification used for an AFN CIP: advanced level from either AWS certification, as a component of LEEPs, or other industry-recognized third-party certifier. Inquire for details."
"0CREDAG017","Gas Tungsten Arc (GTAW) AKA Tungsten Inert Gas (TIG) Welding advanced for AFN CIP","Gas Tungsten Arc Welding AKA Tungsten Inert Gas Welding advanced cert for AFN CIP: advanced level from AWS certification, as a component of LEEPs, or other industry-recognized third-party certifier. Inquire for details."
"0CREDAG018","Oxyfuel Cutting advanced used for an AFN CIP","Oxyfuel Cutting advanced certification used for an AFN CIP: advanced level from either AWS certification, a union hall, as a component of LEEPs, or other industry-recognized third-party certifier. Inquire for details."
"0CREDAG019","Plasma Cutting advanced used for an AFN CIP","Plasma Cutting advanced certification used for an AFN CIP: advanced level from either AWS certification, a union hall, as a component of LEEPs, or other industry-recognized third-party certifier. Inquire for details."
"0CREDAG020","Carbon Arc Gouging advanced used for an AFN CIP","Carbon Arc Gouging advanced certification used for an AFN CIP: advanced level from either AWS certification, a union hall, as a component of LEEPs, or other industry-recognized third-party certifier. Inquire for details."
"0CREDAG021","Federal Aviation Administration: Part 107 (UAS) for AG CIP","Federal Aviation Administration: Part 107 (UAS) for AG CIP"
"0CREDBM001","MOS Certification Expert","EITHER Microsoft Office Specialist (MOS) Certification Expert (two exams, full student choice, good for schools w limited MS access) OR MS Office Specialist 2016 Master Certification (3 req Word Excel PPt, 1 elective exam)"
"0CREDBM002","NRAEF ProStart Certification","National Restaurant Association Educational Foundation – ProStart National Certificate of Achievement"
"0CREDBM004","Intuit Quickbooks Certified User","Intuit Quickbooks Certified User"
"0CREDBM005","AHLEI Certified Hospitality Tourism Management Professional (CHTMP)","American Hotel and Lodging Educational Institute (AHLEI) Certified Hospitality Tourism Management Professional (CHTMP)"
"0CREDBM006","SWA professional Comms Certification","Southwest Airlines (SWA) professional comms Certification"
"0CREDBM007","PMI Project Management Ready","PMI Project Management Ready"
"0CREDBM008","Stukent Social Media Certification plus Stukent Digital Marketing Certification","Stukent - Digital Media (high school) and Digital Marketing (higher ed) Certifications; Create a portfolio of credentials comprising these two elements; examine the site for details and confer with local industry advisors."
"0CREDBM009","ServSafe Manager Certificate","ServSafe Manager Certificate"
"0CREDBM010","Stukent Certification – Marketing","Stukent - Digital Media (high school) and Digital Marketing (higher ed) Certifications; Create a portfolio of credentials comprising these two elements; examine the site for details and confer with local industry advisors."
"0CREDBM011","Bank Teller ","Bank Teller "
"0CREDHE001","Oregon CAN","Oregon State Board of Nursing CNA"
"0CREDHE002","Oregon Certified Pharmacy Tech","Oregon Certified Pharmacy Tech"
"0CREDHE003","Oregon EMS Provider License used for an HS CIP","Oregon EMS Provider License used for an HS CIP"
"0CREDHE004","Radiation Health and Safety (RHS) Exam","Radiation Health and Safety (RHS) Exam"
"0CREDHE005","National Academy for Sports Medicine Certified Personal Trainer (NASM-CPT)","National Academy for Sports Medicine Certified Personal Trainer (NASM-CPT)"
"0CREDHE006","National Health Science Assessment","National Health Science Assessment"
"0CREDHE007","Medical Assistant Certification (CCMA)","Medical Assistant Certification (CCMA) from the National HealthCareer Association. See details in the specific certification program and speak to your CTE Education Specialist for details on determination of skill level."
"0CREDHE008","Phlebotomy Technician Certification (CPT)","Phlebotomy Technician Certification (CPT) from the National HealthCareer Association. See details in the specific certification program and speak to your CTE Education Specialist for details on determination of skill level."
"0CREDHE009","Certified EKG Technician (CET)","Certified EKG Technician (CET) from the National HealthCareer Association. See details in the specific certification program and speak to your CTE Education Specialist for details on determination of skill level."
